#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
27,19,0.2,-5.29,0.00194,5.09e-06,Moderately soluble,-5.98,0.000403,1.06e-06,Moderately soluble,-7.39,1.56e-05,4.1e-08,Poorly soluble,High,No,No,Yes,Yes,Yes,No,No,-5.5,0,0,0,0,0,0.55,0,0,2,3.5
26,12,0.29,-4.06,0.0385,8.72e-05,Moderately soluble,-4.87,0.00589,1.33e-05,Moderately soluble,-6.53,0.000131,2.96e-07,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-7.11,0,0,0,0,0,0.55,0,0,2,3.15
33,16,0.38,-5.87,0.000624,1.35e-06,Moderately soluble,-6.74,8.43e-05,1.82e-07,Poorly soluble,-6.61,0.000113,2.44e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-5.53,0,1,0,0,1,0.55,0,0,2,4.65
16,5,0.55,-3.9,0.0405,0.000126,Soluble,-4.4,0.0128,4e-05,Moderately soluble,-4.66,0.00698,2.17e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-6.12,0,0,0,0,0,0.55,0,0,0,3.85
25,12,0.21,-3.32,0.161,0.000478,Soluble,-3.41,0.131,0.000388,Soluble,-5.22,0.00203,6.03e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-6.9,0,0,0,0,0,0.55,1,0,0,3.44
30,10,0.53,-4.43,0.0166,3.68e-05,Moderately soluble,-6.68,9.42e-05,2.09e-07,Poorly soluble,-5.32,0.00215,4.76e-06,Moderately soluble,Low,No,Yes,No,Yes,Yes,No,Yes,-6.63,0,0,1,1,1,0.55,0,0,2,5.0
31,18,0.36,-4.61,0.0102,2.45e-05,Moderately soluble,-4.83,0.00614,1.47e-05,Moderately soluble,-8.06,3.65e-06,8.75e-09,Poorly soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-6.13,0,0,0,0,0,0.55,0,0,3,3.53
21,11,0.21,-3.68,0.068,0.000209,Soluble,-4.06,0.0281,8.65e-05,Moderately soluble,-4.72,0.00617,1.9e-05,Moderately soluble,High,No,No,No,Yes,Yes,No,No,-6.43,0,0,0,0,0,0.55,0,0,0,3.69
21,5,0.79,-2.23,1.83,0.00584,Soluble,-1.86,4.34,0.0139,Very soluble,-2.67,0.667,0.00213,Soluble,High,Yes,Yes,No,No,No,No,No,-7.68,0,0,0,0,0,0.55,0,0,0,3.49
27,21,0.1,-5.72,0.00079,1.9e-06,Moderately soluble,-5.77,0.000702,1.69e-06,Moderately soluble,-8.68,8.72e-07,2.09e-09,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.55,0,1,0,1,0,0.55,0,0,2,3.71
22,5,0.54,-1.9,4.28,0.0125,Very soluble,-2.54,0.991,0.00289,Soluble,-1.98,3.61,0.0105,Soluble,Low,No,No,No,No,No,No,No,-8.51,0,0,1,1,1,0.55,0,0,0,4.42
29,16,0.24,-5.55,0.00143,2.85e-06,Moderately soluble,-6.16,0.000346,6.9e-07,Poorly soluble,-6.2,0.000316,6.31e-07,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.37,1,1,0,0,0,0.55,0,0,2,3.43
24,19,0.11,-4.02,0.031,9.65e-05,Moderately soluble,-3.96,0.0352,0.00011,Soluble,-6.05,0.000288,8.97e-07,Poorly soluble,High,Yes,No,Yes,No,Yes,Yes,Yes,-6.24,0,0,0,0,0,0.55,0,0,0,2.53
18,10,0.5,-2.41,1.04,0.00389,Soluble,-2.07,2.28,0.00853,Soluble,-4.11,0.0207,7.73e-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-6.93,0,0,0,0,0,0.55,0,0,0,2.46
20,15,0.29,-3.1,0.214,0.000792,Soluble,-3.13,0.202,0.000746,Soluble,-5.62,0.000645,2.39e-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.56,0,0,0,0,0,0.55,0,0,0,3.02
24,19,0.11,-4.37,0.0136,4.28e-05,Moderately soluble,-4.65,0.00715,2.25e-05,Moderately soluble,-6.29,0.000163,5.14e-07,Poorly soluble,High,Yes,No,Yes,No,Yes,Yes,Yes,-5.79,0,0,0,0,0,0.55,0,0,0,2.98
19,14,0.17,-2.04,2.32,0.00904,Soluble,-1.72,4.88,0.019,Very soluble,-3.04,0.234,0.000912,Soluble,High,No,No,Yes,No,No,No,No,-7.49,0,0,0,0,0,0.55,0,0,0,2.46
19,15,0.21,-3.34,0.116,0.000457,Soluble,-3.42,0.0965,0.00038,Soluble,-5.61,0.000629,2.47e-06,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-6.12,0,0,0,0,0,0.55,0,0,0,2.51
20,5,0.64,-2.35,1.25,0.0045,Soluble,-2.72,0.535,0.00192,Soluble,-3.01,0.273,0.000979,Soluble,High,No,Yes,No,No,No,No,No,-6.95,0,0,0,0,0,0.55,0,0,0,2.47
24,12,0.53,-3.18,0.222,0.000667,Soluble,-4.04,0.0307,9.19e-05,Moderately soluble,-4.74,0.00601,1.8e-05,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-6.8,0,0,0,0,0,0.55,0,0,0,3.46
35,17,0.37,-6.84,7.99e-05,1.43e-07,Poorly soluble,-7.42,2.13e-05,3.81e-08,Poorly soluble,-9.68,1.16e-07,2.07e-10,Poorly soluble,Low,No,Yes,No,No,Yes,Yes,Yes,-5.67,1,3,0,1,1,0.55,0,0,2,4.92
19,0,0.94,-3.94,0.03,0.000114,Soluble,-4.48,0.0087,3.3e-05,Moderately soluble,-2.92,0.317,0.00121,Soluble,High,Yes,Yes,No,No,No,Yes,No,-4.83,0,0,0,0,0,0.55,0,0,1,2.08
28,11,0.25,-3.17,0.272,0.000684,Soluble,-3.7,0.0797,0.000201,Soluble,-4.74,0.0073,1.84e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.56,0,0,0,0,0,0.55,0,1,1,3.39
25,11,0.44,-2.87,0.466,0.00136,Soluble,-3.12,0.263,0.000767,Soluble,-4.67,0.00725,2.12e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.22,0,0,0,0,0,0.55,0,0,0,2.63
22,11,0.36,-3.09,0.262,0.000812,Soluble,-3.29,0.165,0.00051,Soluble,-3.26,0.175,0.000545,Soluble,High,No,No,No,No,No,No,No,-7.12,0,0,0,0,0,0.55,0,1,0,4.85
27,21,0.05,-4.6,0.00908,2.53e-05,Moderately soluble,-5.68,0.000748,2.08e-06,Moderately soluble,-7.64,8.14e-06,2.26e-08,Poorly soluble,High,No,No,Yes,Yes,No,No,Yes,-5.84,0,0,0,0,0,0.55,0,0,2,3.14
37,15,0.52,-6.78,9e-05,1.67e-07,Poorly soluble,-8.38,2.23e-06,4.15e-09,Poorly soluble,-7.44,1.95e-05,3.63e-08,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-5.26,1,4,0,1,1,0.55,0,0,3,5.18
24,9,0.67,-3.93,0.0412,0.000119,Soluble,-4.19,0.0226,6.5e-05,Moderately soluble,-3.75,0.0612,0.000176,Soluble,High,No,No,No,Yes,Yes,Yes,No,-6.33,0,0,0,0,0,0.55,0,0,0,3.6
39,24,0.17,-6.09,0.000452,8.12e-07,Poorly soluble,-5.9,0.000694,1.25e-06,Moderately soluble,-9.6,1.42e-07,2.54e-10,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.69,1,2,0,0,0,0.55,0,0,2,4.63
22,12,0.29,-2.14,2.19,0.00728,Soluble,-1.79,4.88,0.0162,Very soluble,-2.87,0.408,0.00136,Soluble,High,No,Yes,No,No,No,No,No,-7.8,0,0,0,0,0,0.55,0,0,0,2.97
29,6,0.68,-3.92,0.0491,0.000121,Soluble,-4.36,0.0175,4.32e-05,Moderately soluble,-5.08,0.00333,8.22e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.52,0,0,0,0,0,0.55,0,0,2,3.08
24,6,0.56,-3.92,0.0481,0.000121,Soluble,-3.41,0.154,0.000388,Soluble,-4.74,0.00726,1.83e-05,Moderately soluble,High,Yes,No,No,Yes,No,Yes,Yes,-6.88,0,0,0,0,0,0.55,0,0,1,3.62
21,14,0.19,-3.93,0.0351,0.000117,Soluble,-4.46,0.0105,3.5e-05,Moderately soluble,-5.15,0.00211,7.03e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.8,0,0,0,0,0,0.55,0,0,0,2.64
21,11,0.38,-3.46,0.0993,0.000348,Soluble,-3.81,0.0437,0.000153,Soluble,-5.39,0.00116,4.07e-06,Moderately soluble,High,No,Yes,Yes,No,No,Yes,Yes,-6.24,0,0,0,0,0,0.55,0,0,0,2.78
21,6,0.54,-1.62,7.54,0.0241,Very soluble,-1.1,24.8,0.0793,Very soluble,-2.04,2.85,0.00912,Soluble,High,No,No,No,No,No,No,No,-8.33,0,0,0,0,0,0.55,0,0,0,3.67
22,11,0.21,-3.96,0.0391,0.00011,Soluble,-4.39,0.0146,4.09e-05,Moderately soluble,-5.26,0.00195,5.47e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-6.36,0,0,0,0,0,0.55,0,1,1,3.0
32,21,0.24,-6.19,0.000292,6.5e-07,Poorly soluble,-6.23,0.000267,5.95e-07,Poorly soluble,-8.37,1.93e-06,4.31e-09,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.2,0,0,0,0,1,0.55,0,0,2,3.18
25,12,0.33,-3.11,0.283,0.000782,Soluble,-2.24,2.09,0.00579,Soluble,-4.44,0.0132,3.65e-05,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,No,-7.46,0,0,0,0,0,0.55,0,0,1,2.71
25,15,0.26,-2.8,0.532,0.00157,Soluble,-2.49,1.1,0.00325,Soluble,-6.19,0.000219,6.46e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-7.45,0,0,0,0,0,0.55,0,0,0,2.7
20,14,0.15,-3.97,0.0328,0.000107,Soluble,-4.53,0.00898,2.93e-05,Moderately soluble,-4.88,0.00407,1.33e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-6.02,0,0,0,0,0,0.55,0,0,0,3.03
28,6,0.62,-2.37,1.65,0.00423,Soluble,-2.11,3.04,0.00779,Soluble,-4.79,0.0063,1.61e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-8.06,0,0,0,0,0,0.55,0,1,2,3.93
32,24,0.17,-4.67,0.0106,2.15e-05,Moderately soluble,-3.69,0.101,0.000203,Soluble,-6.27,0.000265,5.36e-07,Poorly soluble,High,No,Yes,No,No,Yes,No,No,-7.73,0,1,0,0,0,0.55,0,0,1,3.45
28,23,0.16,-4.37,0.0168,4.31e-05,Moderately soluble,-4.6,0.00976,2.5e-05,Moderately soluble,-5.47,0.00133,3.4e-06,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-6.77,0,0,0,0,0,0.55,0,0,1,4.03
26,12,0.37,-3.66,0.0831,0.000219,Soluble,-3.33,0.177,0.000468,Soluble,-6.5,0.000118,3.13e-07,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,No,-6.89,0,0,0,0,0,0.55,0,0,1,3.13
20,11,0.29,-5.16,0.00244,6.88e-06,Moderately soluble,-6.3,0.000177,5e-07,Poorly soluble,-5.88,0.000464,1.31e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-5.02,0,0,0,0,0,0.55,0,0,2,3.0
21,11,0.21,-2.43,1.05,0.00368,Soluble,-2.76,0.495,0.00173,Soluble,-2.54,0.82,0.00286,Soluble,High,No,No,No,No,No,No,No,-7.34,0,0,0,0,0,0.56,0,0,0,3.98
16,11,0.1,-3.62,0.0626,0.000241,Soluble,-3.42,0.0991,0.000381,Soluble,-4.49,0.00847,3.26e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.87,0,0,0,0,0,0.55,0,0,0,2.05
31,17,0.38,-4.9,0.00557,1.27e-05,Moderately soluble,-4.98,0.00461,1.05e-05,Moderately soluble,-7.41,1.69e-05,3.85e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.43,0,0,0,0,0,0.55,0,0,2,4.51
22,9,0.6,-3.35,0.143,0.000446,Soluble,-3.21,0.2,0.000621,Soluble,-3.94,0.0366,0.000114,Soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,No,-6.67,0,0,0,0,0,0.55,0,0,0,2.84
29,15,0.16,-4.25,0.0239,5.66e-05,Moderately soluble,-4.68,0.00885,2.09e-05,Moderately soluble,-6.21,0.000259,6.14e-07,Poorly soluble,High,No,No,Yes,Yes,Yes,No,No,-6.85,0,0,0,0,0,0.55,0,0,1,2.93
19,6,0.54,-3.34,0.158,0.000455,Soluble,-3.38,0.144,0.000413,Soluble,-4.33,0.0162,4.66e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.88,0,0,0,0,0,0.55,0,0,0,3.76
32,12,0.33,-3.31,0.235,0.00049,Soluble,-3.78,0.0793,0.000165,Soluble,-5.52,0.00145,3.03e-06,Moderately soluble,Low,No,No,No,Yes,Yes,Yes,Yes,-8.31,0,0,0,1,0,0.55,0,0,2,3.31
24,15,0.3,-5.51,0.00105,3.07e-06,Moderately soluble,-5.34,0.00154,4.53e-06,Moderately soluble,-6.41,0.000133,3.9e-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,No,-4.67,0,0,0,0,1,0.55,0,0,1,2.36
17,11,0.18,-4.48,0.00958,3.29e-05,Moderately soluble,-4.44,0.0107,3.66e-05,Moderately soluble,-5.32,0.0014,4.81e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-5.12,0,0,0,0,0,0.55,0,0,1,2.03
24,12,0.37,-3.91,0.0425,0.000122,Soluble,-3.78,0.0583,0.000167,Soluble,-7.14,2.52e-05,7.23e-08,Poorly soluble,High,Yes,No,Yes,Yes,No,Yes,Yes,-6.02,0,0,0,0,0,0.55,0,0,1,2.74
23,13,0.38,-2.85,0.464,0.0014,Soluble,-3.33,0.155,0.000469,Soluble,-3.56,0.09,0.000272,Soluble,High,No,Yes,Yes,Yes,No,No,No,-7.33,0,0,0,0,0,0.55,0,0,0,3.66
32,21,0.16,-5.41,0.00169,3.93e-06,Moderately soluble,-5.65,0.000969,2.26e-06,Moderately soluble,-7.63,1.01e-05,2.35e-08,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,No,Yes,-5.67,0,0,0,0,0,0.55,0,0,2,3.16
29,17,0.23,-5.55,0.00135,2.84e-06,Moderately soluble,-5.82,0.000711,1.5e-06,Moderately soluble,-8.56,1.32e-06,2.78e-09,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-6.12,0,0,0,0,0,0.55,0,0,2,3.86
36,20,0.29,-5.97,0.000542,1.07e-06,Moderately soluble,-6.61,0.000125,2.48e-07,Poorly soluble,-8.66,1.11e-06,2.19e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-5.88,1,2,0,0,0,0.55,0,0,3,4.22
27,16,0.17,-3.7,0.0758,0.000201,Soluble,-3.89,0.0487,0.000129,Soluble,-5.96,0.000412,1.09e-06,Moderately soluble,High,No,No,Yes,No,Yes,No,No,-6.93,0,0,0,0,0,0.55,0,0,1,2.79
34,5,0.71,-5.66,0.00103,2.18e-06,Moderately soluble,-6.29,0.000244,5.18e-07,Poorly soluble,-5.8,0.000746,1.58e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-5.8,0,1,0,0,0,0.55,0,1,2,6.22
30,17,0.32,-4.12,0.0309,7.54e-05,Moderately soluble,-4.71,0.00805,1.96e-05,Moderately soluble,-6.84,5.96e-05,1.45e-07,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.43,0,0,1,0,0,0.55,0,1,2,3.54
25,17,0.33,-3.77,0.0608,0.000171,Soluble,-3.44,0.129,0.000364,Soluble,-6.73,6.56e-05,1.85e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.79,0,0,0,0,0,0.55,0,0,1,2.84
24,11,0.36,-2.6,0.942,0.00252,Soluble,-2.87,0.501,0.00134,Soluble,-4.46,0.013,3.48e-05,Moderately soluble,High,No,No,No,Yes,No,No,No,-7.87,0,0,0,0,0,0.55,0,0,2,3.02
24,20,0.0,-4.23,0.0228,5.95e-05,Moderately soluble,-4.37,0.0165,4.3e-05,Moderately soluble,-7.2,2.42e-05,6.32e-08,Poorly soluble,High,No,No,Yes,Yes,No,No,No,-6.77,0,0,0,0,0,0.55,0,0,1,2.73
23,16,0.39,-4.25,0.0175,5.68e-05,Moderately soluble,-4.44,0.0113,3.66e-05,Moderately soluble,-6.07,0.000264,8.57e-07,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-5.65,0,0,0,0,0,0.55,0,0,1,3.21
19,17,0.0,-3.8,0.0403,0.000159,Soluble,-4.01,0.0248,9.8e-05,Moderately soluble,-5.13,0.00189,7.46e-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,Yes,-5.75,0,0,0,0,0,0.55,0,0,0,2.86
33,23,0.17,-5.63,0.00113,2.32e-06,Moderately soluble,-6.26,0.000265,5.47e-07,Poorly soluble,-9.11,3.79e-07,7.82e-10,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-6.33,0,1,0,0,0,0.55,0,0,2,3.85
22,16,0.0,-2.38,1.32,0.00416,Soluble,-3.57,0.0861,0.000272,Soluble,-3.78,0.0529,0.000167,Soluble,Low,No,No,No,No,No,No,No,-7.81,0,0,1,1,1,0.11,0,0,0,2.83
24,9,0.56,-4.43,0.0147,3.71e-05,Moderately soluble,-4.66,0.00869,2.19e-05,Moderately soluble,-3.94,0.0459,0.000116,Soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-6.25,0,0,0,0,0,0.55,0,0,1,3.19
19,10,0.36,-2.7,0.522,0.00201,Soluble,-3.02,0.251,0.000966,Soluble,-4.92,0.00315,1.21e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.55,0,0,0,0,0,0.55,0,0,0,2.48
20,17,0.14,-3.57,0.0715,0.000268,Soluble,-3.64,0.0613,0.000229,Soluble,-4.84,0.00384,1.44e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,Yes,-6.08,0,0,0,0,0,0.55,0,0,0,2.51
22,6,0.53,-3.62,0.0944,0.000242,Soluble,-3.28,0.202,0.00052,Soluble,-4.62,0.00923,2.37e-05,Moderately soluble,High,Yes,No,No,Yes,No,No,No,-7.07,0,0,0,0,0,0.55,0,0,1,3.02
29,11,0.42,-2.18,2.62,0.00658,Soluble,-1.8,6.35,0.0159,Very soluble,-3.15,0.283,0.00071,Soluble,High,No,Yes,No,No,No,No,No,-8.89,0,1,0,0,0,0.55,0,0,1,4.02
35,16,0.37,-4.17,0.0324,6.81e-05,Moderately soluble,-3.71,0.0934,0.000196,Soluble,-6.94,5.51e-05,1.16e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,No,-7.6,0,1,0,0,0,0.55,0,0,1,3.38
25,21,0.11,-5.05,0.00298,8.99e-06,Moderately soluble,-5.93,0.000388,1.17e-06,Moderately soluble,-7.64,7.54e-06,2.28e-08,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.25,0,0,0,0,0,0.55,0,0,1,3.21
25,14,0.56,-2.71,0.673,0.00197,Soluble,-3.01,0.333,0.000977,Soluble,-3.61,0.0846,0.000248,Soluble,High,No,Yes,Yes,No,No,No,Yes,-7.71,0,0,0,0,0,0.55,0,0,0,4.27
34,15,0.5,-5.16,0.00336,6.97e-06,Moderately soluble,-5.83,0.000718,1.49e-06,Moderately soluble,-6.7,9.61e-05,2e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.53,0,2,0,0,0,0.55,0,0,2,4.31
30,17,0.22,-5.24,0.00243,5.8e-06,Moderately soluble,-6.15,0.000296,7.06e-07,Poorly soluble,-7.82,6.28e-06,1.5e-08,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-5.72,0,0,0,0,0,0.55,0,1,2,4.2
30,12,0.38,-5.88,0.00055,1.33e-06,Moderately soluble,-6.21,0.000256,6.18e-07,Poorly soluble,-7.38,1.74e-05,4.21e-08,Poorly soluble,Low,No,No,No,Yes,No,Yes,No,-4.8,1,1,0,1,1,0.55,0,2,2,4.16
32,15,0.45,-5.4,0.00208,3.99e-06,Moderately soluble,-5.12,0.00392,7.52e-06,Moderately soluble,-5.87,0.000697,1.34e-06,Moderately soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.94,1,2,0,0,0,0.55,0,0,2,3.63
26,13,0.5,-4.05,0.0318,8.92e-05,Moderately soluble,-4.32,0.017,4.76e-05,Moderately soluble,-5.58,0.000944,2.65e-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,No,-6.12,0,0,0,0,0,0.55,0,0,1,3.11
31,15,0.5,-4.58,0.0113,2.62e-05,Moderately soluble,-5.35,0.00191,4.43e-06,Moderately soluble,-5.58,0.00113,2.63e-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-6.4,0,0,0,0,0,0.55,0,0,3,3.48
18,9,0.5,-2.3,1.34,0.00498,Soluble,-2.73,0.499,0.00185,Soluble,-3.29,0.138,0.000513,Soluble,High,No,No,No,No,No,No,No,-7.17,0,0,0,0,0,0.55,0,0,0,2.88
20,14,0.33,-3.27,0.179,0.000532,Soluble,-2.78,0.553,0.00164,Soluble,-4.14,0.0244,7.24e-05,Moderately soluble,High,No,Yes,Yes,No,No,No,No,-7.26,0,0,0,0,0,0.55,0,0,0,3.43
19,6,0.62,-3.06,0.227,0.000868,Soluble,-2.71,0.512,0.00196,Soluble,-3.33,0.124,0.000473,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.2,0,0,0,0,0,0.55,0,0,0,3.01
33,16,0.27,-4.69,0.0104,2.03e-05,Moderately soluble,-5.2,0.00324,6.31e-06,Moderately soluble,-7.43,1.9e-05,3.7e-08,Poorly soluble,High,No,Yes,Yes,No,No,No,Yes,-7.51,1,1,0,1,0,0.55,0,1,1,3.86
26,22,0.1,-4.8,0.0054,1.57e-05,Moderately soluble,-5.04,0.00312,9.08e-06,Moderately soluble,-7.49,1.11e-05,3.24e-08,Poorly soluble,High,Yes,No,Yes,No,Yes,No,Yes,-5.68,0,0,0,0,0,0.55,0,0,1,3.3
24,12,0.32,-5.1,0.00257,8.03e-06,Moderately soluble,-5.16,0.00219,6.85e-06,Moderately soluble,-7.68,6.69e-06,2.09e-08,Poorly soluble,High,Yes,No,No,Yes,No,Yes,Yes,-4.83,0,0,0,0,0,0.55,0,2,1,3.28
31,16,0.41,-3.63,0.102,0.000232,Soluble,-3.35,0.198,0.000449,Soluble,-5.78,0.000736,1.67e-06,Moderately soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.79,0,0,0,0,0,0.55,0,0,1,3.74
22,12,0.26,-5.26,0.0016,5.45e-06,Moderately soluble,-5.85,0.000419,1.43e-06,Moderately soluble,-6.37,0.000127,4.32e-07,Poorly soluble,High,Yes,No,No,Yes,No,No,No,-4.18,1,0,0,0,1,0.55,0,2,1,3.07
30,18,0.27,-4.32,0.0205,4.81e-05,Moderately soluble,-4.39,0.0172,4.03e-05,Moderately soluble,-6.08,0.000351,8.24e-07,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.96,0,0,0,0,0,0.55,0,0,1,3.97
23,16,0.17,-4.0,0.0309,0.0001,Soluble,-4.13,0.0231,7.49e-05,Moderately soluble,-5.78,0.000511,1.66e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.93,0,0,0,0,0,0.55,0,0,0,2.68
25,18,0.14,-4.41,0.013,3.92e-05,Moderately soluble,-4.49,0.0108,3.26e-05,Moderately soluble,-8.36,1.45e-06,4.38e-09,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.5,0,0,0,0,0,0.55,0,0,2,2.38
32,16,0.42,-6.11,0.000349,7.76e-07,Poorly soluble,-6.49,0.000146,3.24e-07,Poorly soluble,-7.16,3.08e-05,6.85e-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-5.24,1,2,0,0,1,0.55,0,0,2,4.65
22,11,0.31,-2.31,1.46,0.00491,Soluble,-1.69,6.09,0.0205,Very soluble,-4.71,0.00574,1.94e-05,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.74,0,0,0,0,0,0.55,0,0,0,3.67
33,18,0.28,-7.13,3.79e-05,7.47e-08,Poorly soluble,-8.02,4.85e-06,9.58e-09,Poorly soluble,-10.56,1.38e-08,2.73e-11,Insoluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-4.51,2,3,0,1,1,0.17,0,0,3,4.1
19,6,0.46,-2.41,1.1,0.00388,Soluble,-2.72,0.54,0.0019,Soluble,-3.66,0.0626,0.00022,Soluble,High,Yes,No,No,No,No,No,No,-6.94,0,0,0,0,0,0.55,0,0,0,2.38
26,12,0.19,-4.16,0.0279,6.98e-05,Moderately soluble,-4.69,0.0081,2.02e-05,Moderately soluble,-5.49,0.00129,3.23e-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-6.76,0,0,0,0,0,0.56,0,0,1,3.74
20,10,0.18,-4.83,0.00551,1.49e-05,Moderately soluble,-5.06,0.00323,8.72e-06,Moderately soluble,-5.44,0.00135,3.65e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-5.72,0,1,0,0,0,0.55,0,2,2,2.51
31,17,0.3,-4.76,0.00735,1.73e-05,Moderately soluble,-5.72,0.000807,1.9e-06,Moderately soluble,-7.88,5.65e-06,1.33e-08,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.03,0,0,0,0,0,0.55,0,0,3,3.38
18,10,0.4,-2.77,0.488,0.0017,Soluble,-3.76,0.0503,0.000175,Soluble,-3.83,0.042,0.000146,Soluble,High,No,No,No,Yes,No,No,No,-6.92,0,0,0,0,0,0.55,0,0,0,3.39
24,12,0.19,-3.6,0.0925,0.000253,Soluble,-3.76,0.0632,0.000173,Soluble,-5.73,0.000678,1.85e-06,Moderately soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.9,0,0,0,0,0,0.55,0,0,1,2.72
19,6,0.42,-1.77,4.88,0.0171,Very soluble,-2.31,1.39,0.00485,Soluble,-3.67,0.0611,0.000213,Soluble,High,No,No,No,No,No,No,No,-7.69,0,0,0,0,0,0.55,0,0,0,2.24
31,17,0.26,-5.54,0.00139,2.88e-06,Moderately soluble,-5.54,0.00138,2.86e-06,Moderately soluble,-7.23,2.87e-05,5.93e-08,Poorly soluble,High,Yes,No,No,Yes,Yes,No,Yes,-6.14,0,1,0,0,0,0.55,0,0,2,4.45
18,9,0.57,-4.54,0.00763,2.91e-05,Moderately soluble,-5.67,0.000566,2.16e-06,Moderately soluble,-4.11,0.0202,7.69e-05,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,No,No,-4.78,0,0,0,0,0,0.55,0,0,1,3.48
